Title,Author,weeks on bestseller list
THE PACT,Karina Halle,2
DEVIL’S GATE,Clive Cussler and Graham Brown,2
ALL THE SINGLE LADIES,Dorothea Benton Frank,2
THE RACE,Clive Cussler and Justin Scott,2
THE TIGER’S WIFE,Tea Obreht,2
THE SLEEPING BEAUTY KILLER,Mary Higgins Clark and Alafair Burke,2
THE VACATIONERS,Emma Straub,2
BRIDGET JONES: MAD ABOUT THE BOY,Helen Fielding,2
BONES ARE FOREVER,Kathy Reichs,2
ENDANGERED,C J Box,2
SILVER GIRL,Elin Hilderbrand,2
BRING ME HOME FOR CHRISTMAS,Ron Carr,2
BIG ROCK,Lauren Blakely,2
THE STEEL KISS,Jeffery Deaver,2
FRENCH SILK,Sandra Brown,2
RUIN: PART 1,Deborah Bladon,2
THE HERO,Ron Carr,2
ONE WISH,Ron Carr,2
INSATIABLE APPETITES,Stuart Woods,2
THE SINS OF THE FATHER,Jeffrey Archer,2
LAST ONE HOME,Debbie Macomber,2
TOM CLANCY: SUPPORT AND DEFEND,Mark Greaney,2
THE KING,J R Ward,2
HIS SECRETARY,Melanie Marchande,2
THE LINCOLN MYTH,Steve Berry,2
NEVER NEVER,Colleen Hoover and Tarryn Fisher,2
IT ENDS WITH US,Colleen Hoover,2
A CREED IN STONE CREEK,Linda Lael Miller,2
COLD BETRAYAL,J A Jance,2
MISTER O,Lauren Blakely,2
THE ROUND HOUSE,Louise Erdrich,2
COCKY BASTARD,Penelope Ward and Vi Keeland,2
FOREVER TOO FAR,Abbi Glines,2
SHADOWFEVER,Karen Marie Moning,2
A GIRL'S GUIDE TO MOVING ON,Debbie Macomber,2
THE MURDERER'S DAUGHTER,Jonathan Kellerman,2
THE AGE OF MIRACLES,Karen Thompson Walker,2
MARRYING WINTERBORNE,Lisa Kleypas,2
SEDUCING CINDERELLA,Gina L Maxwell,2
TREASURE YOUR LOVE,JC Reed,2
THE EX GAMES 3,JS Cooper and Helen Cooper,2
DIE AGAIN,Tess Gerritsen,2
WILDERNESS,Dean Koontz,2
ROOMHATE,Penelope Ward,2
STAR WARS: AFTERMATH,Chuck Wendig,2
SCANDALOUS BEHAVIOR,Stuart Woods,2
THE FORGOTTEN ROOM,Lincoln Child,2
THE COLUMBUS AFFAIR,Steve Berry,2
THE KILL ROOM,Jeffery Deaver,2
THE SKIN COLLECTOR,Jeffery Deaver,2
THE WOLF GIFT,Anne Rice,2
MAINE,J Courtney Sullivan,2
WORTH DYING FOR,Lee Child,2
ANGLE OF INVESTIGATION,Michael Connelly,2
THE ASSASSIN,Clive Cussler and Justin Scott,2
THE SNOWMAN,Jo Nesbo,2
SIMPLY IRRESISTIBLE,Jill Shalvis,2
JANE'S MELODY,Ryan Winfield,2
PHANTOM,Jo Nesbo,2
THE SILENT GIRL,Tess Gerritsen,2
ZERO HOUR,Clive Cussler and Graham Brown,2
IN ONE PERSON,John Irving,2
RIVER MARKED,Patricia Briggs,2
NIGHT ROAD,Kristin Hannah,2
LORD OF SCOUNDRELS,Loretta Chase,2
SPLIT SECOND,Catherine Coulter,2
PARTNERS,John Grisham,2
NORSE MYTHOLOGY,Neil Gaiman,2
TOUGH CUSTOMER,Sandra Brown,2
OUT OF LINE,Jen McLaughlin,2
THE IDEAL MAN,Julie Garwood,2
WALKING DISASTER,Jamie McGuire,2
WORDS OF RADIANCE,Brandon Sanderson,2
BELOW THE BELT,Stuart Woods,2
ECHOES IN DEATH,J D Robb,2
BLOODLINE,James Rollins,2
BEAUTIFUL DAY,Elin Hilderbrand,2
BEAUTIFUL BASTARD,Christina Lauren,2
BULLSEYE,David Baldacci,2
RUIN: PART TWO,Deborah Bladon,2
RAYLAN,Elmore Leonard,2
THE AWARD,Danielle Steel,2
ALL IN,Raine Miller,2
TWISTED PERFECTION,Abbi Glines,2
A GOD IN RUINS,Kate Atkinson,2
COLD DAYS,Jim Butcher,2
PLAYING FOR KEEPS,R L Mathewson,2
THE CITY OF MIRRORS,Justin Cronin,2
PARIS MATCH,Stuart Woods,2
DARK STORM,Christine Feehan,2
BURN,Maya Banks,2
GOD HELP THE CHILD,Toni Morrison,2
THE PHARAOH'S SECRET,Clive Cussler and Graham Brown,2
THE GOOD GIRL,Mary Kubica,2
THE FORCE AWAKENS,Alan Dean Foster,2
WARM BODIES,Isaac Marion,2
SEVERE CLEAR,Stuart Woods,2
CARTE BLANCHE,Jeffery Deaver,2
UNTIL THE END OF TIME,Danielle Steel,2
DOING HARD TIME,Stuart Woods,2
FEVER,Maya Banks,2
THE EXPATS,Chris Pavone,2
CHAOS,Patricia Cornwell,2
SAVE ME,Lisa Scottoline,2
DEVOTED IN DEATH,J D Robb,2
GHOST STORY,Jim Butcher,2
HOLLYWOOD DIRT,Alessandra Torre,2
NIGHT BROKEN,Patricia Briggs,2
THE CINDERELLA MURDER,Mary Higgins Clark and Alafair Burke,2
RUIN,Rachel Van Dyken,2
LOVER UNLEASHED,J R Ward,2
THE HURRICANE SISTERS,Dorothea Benton Frank,2
RAGING HEAT,Richard Castle,2
LIVE BY NIGHT,Dennis Lehane,2
LOVER REBORN,J R Ward,2
SUMMERLAND,Elin Hilderbrand,2
THE NEWCOMER,Ron Carr,2
SILVER LININGS,Debbie Macomber,2
UNDERCOVER,Danielle Steel,2
A MATTER OF HONOR,Jeffrey Archer,2
CRIMSON SHORE,Douglas Preston and Lincoln Child,2
UNINTENDED CONSEQUENCES,Stuart Woods,2
I'VE GOT YOUR NUMBER,Sophie Kinsella,2
NAKED GREED,Stuart Woods,2
SEA GLASS ISLAND,Sherryl Woods,2
NIGHT MOVES,Nora Roberts,2
ALL SUMMER LONG,Dorothea Benton Frank,2
CRIMINAL,Karin Slaughter,2
HARVEST MOON,Ron Carr,2
THE 6TH EXTINCTION,James Rollins,2
THE KINGDOM,Clive Cussler with Grant Blackwood,2
ACCUSED,Lisa Scottoline,2
FAMILY TREE,Susan Wiggs,2
HOT PURSUIT,Stuart Woods,2
THE ART OF FIELDING,Chad Harbach,2
THE DARKEST SECRET,Gena Showalter,1
MAGIC RISES,Ilona Andrews,1
THE PAGAN LORD,Bernard Cornwell,1
MY AMERICAN DUCHESS,Eloisa James,1
SPIRIT BOUND,Christine Feehan,1
COP TOWN,Karin Slaughter,1
SHADES OF GRAY,Maya Banks,1
DAUGHTERS OF THE BRIDE,Susan Mallery,1
A HEARTBEAT AWAY,Michael Palmer,1
MANITOU CANYON,William Kent Krueger,1
ONE IN A MILLION,Jill Shalvis,1
A BEAUTIFUL WEDDING,Jamie McGuire,1
I LET YOU GO,Clare Mackintosh,1
YOU WERE MINE,Abbi Glines,1
PALE DEMON,Kim Harrison,1
SHADOW PLAY,Iris Johansen,1
THE WATERS OF ETERNAL YOUTH,Donna Leon,1
THE FLAME BEARER,Bernard Cornwell,1
THE SILENT SISTER,Diane Chamberlain,1
KILLER CHEF,James Patterson and Jeffrey J Keyes,1
SOMETHING WITCHY THIS WAY COMES,H P Mallory,1
ONLY US,Susan Mallery,1
THE LADY OF THE RIVERS,Philippa Gregory,1
THE NIX,Nathan Hill,1
STAKING HIS CLAIM,Tessa Bailey,1
FIGHTING DIRTY,Lori Foster,1
SUMMER RENTAL,Mary Kay Andrews,1
DARK CAROUSEL,Christine Feehan,1
THE BOURNE DOMINION,Eric Van Lustbader,1
THE WHITE QUEEN,Philippa Gregory,1
FOREVER US,Sandi Lynn,1
BORN OF SHADOWS,Sherrilyn Kenyon,1
STAKED,Kevin Hearne,1
TROUBLEMAKER,Linda Howard,1
PALACE OF TREASON,Jason Matthews,1
HARD AS YOU CAN,Laura Kaye,1
TANGLED,Emma Chase,1
TAKING EVE,Iris Johansen,1
UNDER A VAMPIRE MOON,Lynsay Sands,1
DESERVES TO DIE,Lisa Jackson,1
DAMASCUS COUNTDOWN,Joel C Rosenberg,1
POSSESSION,Helen Hardt,1
SHOPAHOLIC TO THE STARS,Sophie Kinsella,1
WEDDING CAKE MURDER,Joanne Fluke,1
THE JOB,Janet Evanovich and Lee Goldberg,1
GOING DOWN FAST,Carly Phillips,1
DEACON,Kristen Ashley,1
SPIDER GAME,Christine Feehan,1
THE NATURE OF THE BEAST,Louise Penny,1
GABRIEL’S INFERNO,Sylvain Reynard,1
IN PURSUIT OF ELIZA CYNSTER,Stephanie Laurens,1
THE GUARDIAN,Nicholas Sparks,1
BECAUSE YOU ARE MINE_ PART VI,Beth Kery,1
THE ISLAND HOUSE,Nancy Thayer,1
THIS GIRL,Colleen Hoover,1
DARKEST BEFORE DAWN,Maya Banks,1
CLAWBACK,J A Jance,1
BORN OF BETRAYAL,Sherrilyn Kenyon,1
TRUST,Jana Aston,1
THRICE THE BRINDED CAT HATH MEW'D,Alan Bradley,1
WHEN A SCOT TIES THE KNOT,Tessa Dare,1
THE KITCHEN HOUSE,Kathleen Grissom,1
ALL I EVER NEED IS YOU,Bella Andre,1
DOUBLE DOWN,Fern Michaels,1
THE SKY UNWASHED,Irene Zatko,1
THE LAKE HOUSE,Kate Morton,1
THE BLOOD GOSPEL,James Rollins and Rebecca Cantrell,1
A GOOD MARRIAGE,Stephen King,1
CITY ON FIRE,Garth Risk Hallberg,1
ALPHA BILLIONAIRE 3,Helen Cooper,1
SEBRING,Kristen Ashley,1
THE GUEST ROOM,Chris Bohjalian,1
POLICE,Jo Nesbo,1
THE SNOW ANGEL,Glenn Beck,1
SON OF STONE,Stuart Woods,1
NEVER DIE ALONE,Lisa Jackson,1
BURN,Helen Hardt,1
ALL THE STARS IN THE HEAVENS,Adriana Trigiani,1
THE SECOND LIFE OF NICK MASON,Steve Hamilton,1
BUILT,Jay Crownover,1
DOWN THE RABBIT HOLE,J D Robb and others,1
HOLDING STRONG,Lori Foster,1
PRINCE LESTAT AND THE REALMS OF ATLANTIS,Anne Rice,1
THE THIRD KINGDOM,Terry Goodkind,1
A SCOT IN THE DARK,Sarah MacLean,1
BEL-AIR DEAD,Stuart Woods,1
ROBERT B. PARKER'S DEBT TO PAY,Reed Farrel Coleman,1
A VISIT FROM THE GOON SQUAD,Jennifer Egan,1
CRAVE,Liliana Hart,1
THE KILL SWITCH,James Rollins and Grant Blackwood,1
SILVER BASTARD,Joanna Wylde,1
HEARTBREAK HOTEL,Jonathan Kellerman,1
TAKE ME,J Kenner,1
QUINN,Iris Johansen,1
A LESSON IN SECRETS,Jacqueline Winspear,1
SEVERED SOULS,Terry Goodkind,1
THRILL ME,Susan Mallery,1
WRATH,Laurann Dohner,1
MIGHTIER THAN THE SWORD,Jeffrey Archer,1
A LEAF ON THE WIND OF ALL HALLOWS,Diana Gabaldon,1
NUMBERS,Laurann Dohner,1
BEAUTIFUL BEGINNING,Christina Lauren,1
FRIENDS — AND THEN SOME,Debbie Macomber,1
THE MARRIAGE OF OPPOSITES,Alice Hoffman,1
SECRET SISTERS,Jayne Ann Krentz,1
JOURNEY TO MUNICH,Jacqueline Winspear,1
ROBERT B. PARKER'S KICKBACK,Ace Atkins,1
UNSEEN,Karin Slaughter,1
CAT'S LAIR,Christine Feehan,1
BLOOD INFERNAL,James Rollins and Rebecca Cantrell,1
FOUR FRIENDS,Ron Carr,1
LIVE WIRE,Lora Leigh,1
MUSIC OF THE HEART,Katie Ashley,1
BREAKING THE RULES,Suzanne Brockmann,1
THE ORACLE GLASS,Judith Merkle Riley,1
THE BITTER SEASON,Tami Hoag,1
STYGIAN'S HONOR,Lora Leigh,1
A GENTLEMAN NEVER TELLS,Eloisa James,1
COCKROACHES,Jo Nesbo,1
ONE LUCKY VAMPIRE,Lynsay Sands,1
THE POSTMISTRESS,Sarah Blake,1
THE PLAYER,Kresley Cole,1
SLADE HOUSE,David Mitchell,1
BEAUTIFUL STRANGER,Christina Lauren,1
DAY SHIFT,Charlaine Harris,1
IMMORTAL,J R Ward,1
YOUR NEXT BREATH,Iris Johansen,1
NIGHT FILM,Marisha Pessl,1
D.C. DEAD,Stuart Woods,1
THE MAGICIAN'S ASSISTANT,Ann Patchett,1
EGOMANIAC,Vi Keeland,1
DEEP DARK,Laura Griffin,1
QUEEN OF FIRE,Anthony Ryan,1
THE POWER TRIP,Jackie Collins,1
TELEGRAPH AVENUE,Michael Chabon,1
THE HOUSE OF SECRETS,Brad Meltzer and Tod Goldberg,1
BECAUSE YOU ARE MINE PART V,Beth Kery,1
THE MINOR ADJUSTMENT BEAUTY SALON,Alexander McCall Smith,1
CRASH AND BURN,Fern Michaels,1
SAVE THE DATE,Mary Kay Andrews,1
CREED'S HONOR,Linda Lael Miller,1
EARTH BOUND,Christine Feehan,1
CURVES 'EM RIGHT,Milly Taiden,1
LEFT FOR DEAD,J A Jance,1
A LAST GOODBYE,J A Jance,1
BABYLON'S ASHES,James S A Corey,1
SEX MACHINE,Marie Force,1
NO GOOD DUKE GOES UNPUNISHED,Sarah MacLean,1
GOLDEN LIES,Barbara Freethy,1
JACI BURTON THE KENT BROTHERS TRILOGY,Jaci Burton,1
DEATH OF KINGS,Bernard Cornwell,1
DEEP,Kylie Scott,1
EVE,Iris Johansen,1
MULBERRY MOON,Catherine Anderson,1
TRUE BLUE AND CARRERA’S BRIDE,Diana Palmer,1
UP FROM THE GRAVE,Jeaniene Frost,1
LOTHAIRE,Kresley Cole,1
DARKER AFTER MIDNIGHT,Lara Adrian,1
LOGAN KADE,Tijan,1
SUMMER AT WILLOW LAKE,Susan Wiggs,1
CLAIM ME,J Kenner,1
SPICE BOX,Raine Miller_ Cathryn Fox and others,1
KIAN,Tijan,1
CHRISTMAS AT TIMBERWOODS,Fern Michaels,1
PIRATE LATITUDES,Michael Crichton,1
ONCE IN A LIFETIME,Jill Shalvis,1
FOUR WEEK FIANCÉ,JS Cooper,1
UNTIL JUNE,Aurora Rose Reynolds,1
RUMOR HAS IT,Jill Shalvis,1
LILA,Marilynne Robinson,1
THE HOMECOMING,Ron Carr,1
BOUNTY,Kristen Ashley,1
SAY YOU'RE SORRY,Michael Robotham,1
BURNING DAWN,Gena Showalter,1
THE BOSTON GIRL,Anita Diamant,1
A PARIS APARTMENT,Michelle Gable,1
ONLY TIME WILL TELL,Jeffrey Archer,1
AFTER DEAD,Charlaine Harris,1
CUT AND THRUST,Stuart Woods,1
FATE OF THE JEDI: APOCALYPSE,Troy Denning,1
OBSIDIAN,Laurann Dohner,1
MAYBE SOMEDAY,Colleen Hoover,1
TIME UNTIME,Sherrilyn Kenyon,1
NOBODY BUT YOU,Jill Shalvis,1
WEDDING NIGHT,Sophie Kinsella,1
CLOSE TO YOU,Kristen Pro,1
MAGIC BINDS,Ilona Andrews,1
AIR BOUND,Christine Feehan,1
AND THEN SHE FELL,Stephanie Laurens,1
TRUST IN ME,J Lynn,1
WHAT DOESN'T KILL YOU,Iris Johansen,1
HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,1
LOVE_ LAUGHTER_ AND STEAMY EVER AFTERS,Bella Andre_ Melissa Foster and others,1
EDGE OF DARKNESS,Christine Feehan_ Maggie Shayne and Lori Herter,1
LOCKE,Harper Sloan,1
THE MEMORY BOX,Eva Natiello,1
CATALYST,James Luceno,1
APRIL,Audrey Carlan,1
ICE COLD,Tess Gerritsen,1
SIMPLE PERFECTION,Abbi Glines,1
THE 9TH GIRL,Tami Hoag,1
ROBERT B. PARKER'S THE DEVIL WINS,Reed Farrel Coleman,1
OBSESSION,Helen Hardt,1
A FEAST FOR CROWS,George R R Martin,1
BEAUTIFUL BURN,Jamie McGuire,1
MELTING THE ICE,Jaci Burton,1
THE FORGOTTEN SOLDIER,Brad Taylor,1
A LAND MORE KIND THAN HOME,Wiley Cash,1
THE STORY OF SON,J R Ward,1
THE SANTANGELOS,Jackie Collins,1
CRIMSON DEATH,Laurell K Hamilton,1
HEROES ARE MY WEAKNESS,Susan Elizabeth Phillips,1
ALPHA BAD BOYS,Shayla Black and others,1
I LOVE HOW YOU LOVE ME,Bella Andre,1
LIGHT AFTER DARK,Marie Force,1
NEVER JUDGE A LADY BY HER COVER,Sarah MacLean,1
SISTERHOOD EVERLASTING,Ann Brashares,1
MOONLIGHT ON NIGHTINGALE WAY,Samantha Young,1
THE CIRCLE,Dave Eggers,1
MY KIND OF CHRISTMAS,Ron Carr,1
THE CHILDREN ACT,Ian McEwan,1
HOW TO DRIVE A DRAGON CRAZY,G A Aiken,1
FOOL'S QUEST,Robin Hobb,1
CHINA DOLLS,Lisa See,1
AN ENGAGEMENT IN SEATTLE,Debbie Macomber,1
LAWE'S JUSTICE,Lora Leigh,1
SWEET TOOTH,Ian McEwan,1
THE INFORMATIONIST,Taylor Stevens,1
SNIPER'S HONOR,Stephen Hunter,1
PRECIOUS AND GRACE,Alexander McCall Smith,1
HEAT WAVE,Richard Castle,1
SWEETBITTER,Stephanie Danler,1
FROM SANCTUM WITH LOVE,Lexi Blake,1
SUBMISSION IS NOT ENOUGH,Lexi Blake,1
FOUR NIGHTS WITH THE DUKE,Eloisa James,1
CHANGE OF HEART,Jude Deveraux,1
WANTED: UNDEAD OR ALIVE,Kerrelyn Sparks,1
ELEGY FOR EDDIE,Jacqueline Winspear,1
AND I LOVE HER,Marie Force,1
TIGER,Laurann Dohner,1
THE CIDER HOUSE RULES,John Irving,1
WISH YOU WELL,David Baldacci,1
WINTER STROLL,Elin Hilderbrand,1
THE WHITES,Richard Price writing as Harry Brandt,1
THE APPLE ORCHARD,Susan Wiggs,1
RECKLESS,S C Stephens,1
BARE IT ALL,Lori Foster,1
BECAUSE YOU ARE MINE PART VII,Beth Kery,1
FATED MATES_ THE ALPHA SHIFTER BOXED SET,Skye Eagleday,1
THE ART OF RACING IN THE RAIN,Garth Stein,1
KISS ME,Susan Mallery,1
SAMURAI GAME,Christine Feehan,1
WAYFARING STRANGER,James Lee Burke,1
THE OCTOBER LIST,Jeffery Deaver,1
THE SENSE OF AN ENDING,Julian Barnes,1
WHAT IT WAS,George Pelecanos,1
STORMY PERSUASION,Johanna Lindsey,1
ONLY A PROMISE,Mary Balogh,1
DEVIL'S GAME,Joanna Wylde,1
THE NIGHT ETERNAL,Guillermo del Toro and Chuck Hogan,1
THE GIRL WHO CHASED THE MOON,Sarah Addison Allen,1
THE PERFECT HUSBAND,Lisa Gardner,1
ODD INTERLUDE #3,Dean Koontz,1
DOWNFALL,J A Jance,1
WORLD GONE BY,Dennis Lehane,1
DARK SKYE,Kresley Cole,1
THE BEAUTIFUL MYSTERY,Louise Penny,1
GIDEON’S SWORD,Douglas Preston and Lincoln Child,1
BONES OF THE LOST,Kathy Reichs,1
THE BURIED GIANT,Kazuo Ishiguro,1
DOWN LONDON ROAD,Samantha Young,1
A PERFECT STORM,Lori Foster,1
REDEPLOYMENT,Phil Klay,1
THE SAFE MAN,Michael Connelly,1
IN YOUR DREAMS,Kristan Higgins,1
WELL HUNG,Lauren Blakely,1
DISHONORABLE INTENTIONS,Stuart Woods,1
TRUE,Laurann Dohner,1
THE POLARIS PROTOCOL,Brad Taylor,1
JUDGMENT CALL,J A Jance,1
POINT BLANK,Fern Michaels,1
NO FORTUNATE SON,Brad Taylor,1
THE EYE OF MOLOCH,Glenn Beck,1
GIRL MISSING,Tess Gerritsen,1
FALLING FOR MY BOSS,J S Cooper and Helen Cooper,1
MAGIC BREAKS,Ilona Andrews,1
YOURS FOR CHRISTMAS,Susan Mallery,1
BEAUTIFUL BITCH,Christina Lauren,1
NEVER LOVE A HIGHLANDER,Maya Banks,1
LOVE UNREHEARSED,Tina Reber,1
DARK WILD NIGHT,Christina Lauren,1
LILAC GIRLS,Martha Hall Kelly,1
SHADOW’S CLAIM,Kresley Cole,1
BEAUTIFUL,Christina Lauren,1
DAYS OF RAGE,Brad Taylor,1
BECAUSE YOU ARE MINE_ PART VIII,Beth Kery,1
HERE I AM,Jonathan Safran Foer,1
BIG SKY COUNTRY,Linda Lael Miller,1
CINNAMON ROLL MURDER,Joanne Fluke,1
THE IMMORTAL WHO LOVED ME,Lynsay Sands,1
FOOL MOON,Jim Butcher,1
AFTER THIS NIGHT,Lauren Blakely,1
MOONLIGHT COVE,Sherryl Woods,1
TOUGH LOVE,Lori Foster,1
I SAW HER STANDING THERE,Marie Force,1
BLUEPRINTS,Barbara Delinsky,1
TOTAL CONTROL,David Baldacci,1
ONLY YOURS,Susan Mallery,1
HARDLINE,Meredith Wild,1
THE EYE OF GOD,James Rollins,1
NIGHT AFTER NIGHT,Lauren Blakely,1
WALK THROUGH FIRE,Kristen Ashley,1
ANYTHING FOR YOU,Kristan Higgins,1
HEARTBREAKER,Linda Howard,1
MISSION TO PARIS,Alan Furst,1
ONLY HIS,Susan Mallery,1
SHADOW RIDER,Christine Feehan,1
INDESTRUCTIBLE,Angela Graham,1
THE JEALOUS KIND,James Lee Burke,1
FROZEN HEAT,Richard Castle,1
A GAME OF THRONES: FIVE-BOOK SET,George R R Martin,1
BE WITH ME,J Lynn,1
A BREWING STORM,Richard Castle,1
THIS WAS A MAN,Jeffrey Archer,1
A TASTE FOR DEATH,P D James,1
SWEET RUIN,Kresley Cole,1
SOARING,Kristen Ashley,1
WITH EVERY BREATH,Maya Banks,1
EXPOSED,Kyra Davis,1
FOUR WEDDINGS AND A FIASCO BOXED SET,Lucy Kevin,1
PLAYING WITH FIRE,Tess Gerritsen,1
THIRTY-SIX AND A HALF MOTIVES,Denise Grover Swank,1
THE LEFTOVERS,Tom Perrotta,1
HAVE ME,J Kenner,1
THE HANDSOME MAN'S DE LUXE CAFÉ,Alexander McCall Smith,1
A BUCCANEER AT HEART,Stephanie Laurens,1
THE HOT ZONE,Jayne Castle,1
A DEADLY WEB,Kay Hooper,1
GRAVE PERIL,Jim Butcher,1
ALWAYS A COWBOY,Linda Lael Miller,1
CROSS ROADS,Wm Paul Young,1
WORTH THE FIGHT,Vi Keeland,1
REASONABLE DOUBT FULL SERIES,Whitney Gracia Williams,1
UNDER THE DOME_ PART 1,Stephen King,1
MARRY ME AT CHRISTMAS,Susan Mallery,1
THE OLD REPUBLIC: REVAN,Drew Karpyshyn,1
THE GUESTS ON SOUTH BATTERY,Karen White,1
WICKED SEXY LIAR,Christina Lauren,1
EDGE OF DAWN,Lara Adrian,1
VIRTUOUS,M S Force,1
CORPS SECURITY: THE SERIES,Harper Sloan,1
DEADLY ASSETS,W E B Griffin and William E Butterworth IV,1
THE UNLIKELY PILGRIMAGE OF HAROLD FRY,Rachel Joyce,1
THE PATRIOT THREAT,Steve Berry,1
THE WEDNESDAY SISTERS,Meg Waite Clayton,1
ADDICTED,Tracy Wolff,1
TO DIE FOR,Jana DeLeon and others,1
PROTECTING JESSYKA,Susan Stoker,1
THE SWANS OF FIFTH AVENUE,Melanie Benjamin,1
THE SUMMER BEFORE THE WAR,Helen Simonson,1
BILLIONAIRE UNKNOWN,J S Scott,1
MIDNIGHT IN EUROPE,Alan Furst,1
THE WITCH WITH NO NAME,Kim Harrison,1
THE LOST ISLAND,Douglas Preston and Lincoln Child,1
TERMINAL CITY,Linda Fairstein,1
BIG SKY WEDDING,Linda Lael Miller,1
MOON,Laurann Dohner,1
BEAUTIFUL BELOVED,Christina Lauren,1
BURN FOR ME,Ilona Andrews,1
WAITING ON YOU,Kristan Higgins,1
LEAVING,Karen Kingsbury,1
STILL THE ONE,Jill Shalvis,1
THE ASSASSINATION OPTION,W E B Griffin and William E Butterworth IV,1
BONES NEVER LIE,Kathy Reichs,1
ASA,Jay Crownover,1
LIGHT OF THE WORLD,James Lee Burke,1
THE WAGER,Rachel Van Dyken,1
DISTANT SHORES,Kristin Hannah,1
A WICKED SNOW,Gregg Olsen,1
SLEEP NO MORE,Iris Johansen,1
TO WED A WILD LORD,Sabrina Jeffries,1
LONGING,Karen Kingsbury,1
THE WILL,Kristen Ashley,1
A LADY NEVER SURRENDERS,Sabrina Jeffries,1
ONE FELL SWEEP,Ilona Andrews,1
DREAM LAKE,Lisa Kleypas,1
THE SATURDAY BIG TENT WEDDING PARTY,Alexander McCall Smith,1
MARKED IN FLESH,Anne Bishop,1
KISSES AFTER DARK,Marie Force,1
ONE NIGHT: DENIED,Jodi Ellen Malpas,1
SHOPPING FOR A BILLIONAIRE,Julia Kent,1
CHASING SUNSETS,Karen Kingsbury,1
SECRETS COLLIDE,Kathleen Brooks,1
NUTSHELL,Ian McEwan,1
REASONABLE DOUBT,Whitney Gracia Williams,1
EIGHTH GRAVE AFTER DARK,Darynda Jones,1
JUST LIKE HEAVEN,Julia Quinn,1
REAMDE,Neal Stephenson,1
UNTIL I BREAK,M Leighton,1
TAKE DOWN,Fern Michaels,1
THE SUMMER'S END,Mary Alice Monroe,1
NIGHT WATCH,Iris Johansen and Roy Johansen,1
PHANTOM,Ted Bell,1
WYOMING BRAVE,Diana Palmer,1
ACCIDENTALLY ON PURPOSE,Jill Shalvis,1
THE KINGMAKER’S DAUGHTER,Philippa Gregory,1
EMPIRE AND HONOR,W E B Griffin and William E Butterworth IV,1
SUMMER NIGHTS,Susan Mallery,1
WANTED,J Kenner,1
STORM FRONT,Jim Butcher,1
LISTEN TO ME,Kristen Pro,1
FORGET ME NOT,Fern Michaels,1
SPEAKING IN BONES,Kathy Reichs,1
MASTERED,Opal Carew and others,1
SATURN RUN,John Sandford and Ctein,1
DREAM EYES,Jayne Ann Krentz,1
MONSTER ________,Kendall Ryan,1
THE MISTLETOE SECRET,Richard Paul Evans,1
HIGHLANDER MOST WANTED,Maya Banks,1
THE KILL LIST,Frederick Forsyth,1
CLOSE TO HOME,Lisa Jackson,1
CREOLE BELLE,James Lee Burke,1
A BEAUTIFUL FUNERAL,Jamie McGuire,1
THE KING'S CURSE,Philippa Gregory,1
LOST LAKE,Sarah Addison Allen,1
WARDS OF FAERIE,Terry Brooks,1
DARKNESS,Laurann Dohner,1
A DEEPER LOVE INSIDE,Sister Souljah,1
FEVERBORN,Karen Marie Moning,1
IGNITED,J Kenner,1
BROKEN,Kelly Elliott,1
RUNAWAY VAMPIRE,Lynsay Sands,1
THE SHADOW OF YOUR SMILE,Mary Higgins Clark,1
LOVE AFTER DARK,Marie Force,1
GHOSTS OF WAR,Brad Taylor,1
BLACKBERRY PIE MURDER,Joanne Fluke,1
FACEOFF,edited  David Baldacci,1
SACRÉ BLEU,Christopher Moore,1
THE LUMINARIES,Eleanor Catton,1
THE UNQUIET,JD Robb_ Mary Blayney_ Patricia Gaffney_ Ruth Ryan Langan and Mary Kay McComas,1
THE SUPREME MACARONI COMPANY,Adriana Trigiani,1
ORPHAN #8,Kim van Alkemade,1
PULSE - PART FOUR,Deborah Bladon,1
FIGHTING TO FORGET,JB Salsbury,1
DEADLY STAKES,J A Jance,1
SCORCHED,Melody Anne,1
RESCUE ME,Rachel Gibson,1
THREE_ TWO_ ONE (321),J A Huss,1
THE BONESETTER'S DAUGHTER,Amy Tan,1
THE NEIGHBOR,Dean Koontz,1
DEADLY HEAT,Richard Castle,1
SILENT RUN,Barbara Freethy,1
DOGWOOD HILL,Sherryl Woods,1
KISS OF CHRISTMAS MAGIC,Eve Langlais_ Aubrey Rose_ Molly Prince and others,1
MORNING STAR,Pierce Brown,1
VERONICA MARS: MR. KISS AND TELL,Rob Thomas and Jennifer Graham,1
I WANT TO HOLD YOUR HAND,Marie Force,1
CONFESS,Colleen Hoover,1
AFLAME,Penelope Douglas,1
FERAL HEAT,Jennifer Ashley,1
THE 7TH MONTH,Lisa Gardner,1
FAST AND LOOSE,Fern Michaels,1
MAGIC SLAYS,Ilona Andrews,1
ONE GRAVE AT A TIME,Jeaniene Frost,1
LOST DECEMBER,Richard Paul Evans,1
IN PLAIN SIGHT,Fern Michaels,1
THE PURSUIT,Janet Evanovich and Lee Goldberg,1
GOLDEN SON,Pierce Brown,1
WARRIORS,Ted Bell,1
HIDDEN SUMMIT,Ron Carr,1
IT'S IN HIS KISS,Jill Shalvis,1
THE BLOOD MIRROR,Brent Weeks,1
