Title,Author,weeks on bestseller list
THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,8
EDGE OF ETERNITY,Ken Follett,8
IN THE UNLIKELY EVENT,Judy Blume,8
SECOND HONEYMOON,James Patterson and Howard Roughan,8
THE ALCHEMIST,Paulo Coelho,8
INVISIBLE,James Patterson and David Ellis,8
THE BAZAAR OF BAD DREAMS,Stephen King,8
WORLD WAR Z,Max Brooks,8
NIGHT SCHOOL,Lee Child,8
FLESH AND BLOOD,Patricia Cornwell,8
THE WEDDING DRESS,Rachel Hauck,8
THE GIRLS,Emma Cline,8
THE LAST ANNIVERSARY,Liane Moriarty,8
PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,8
THE LAST BOYFRIEND,Nora Roberts,7
REVIVAL,Stephen King,7
A WEEK IN WINTER,Maeve Binchy,7
SIX YEARS,Harlan Coben,7
THE TIME KEEPER,Mitch Albom,7
CROSS MY HEART,James Patterson,7
THE FIXED TRILOGY,Laurelin Paige,7
GUILTY WIVES,James Patterson and David Ellis,7
THE MARRIAGE PLOT,Jeffrey Eugenides,7
DON'T SAY A WORD,Barbara Freethy,7
THE OBSESSION,Nora Roberts,7
MR. MERCEDES,Stephen King,7
NOTORIOUS NINETEEN,Janet Evanovich,7
12TH OF NEVER,James Patterson and Maxine Paetro,7
JANUARY,Audrey Carlan,7
HOPELESS,Colleen Hoover,7
CAPTIVATED BY YOU,Sylvia Day,7
WHERE WE BELONG,Emily Giffin,7
KING AND MAXWELL,David Baldacci,7
FIELD OF PREY,John Sandford,7
THE BET,Rachel Van Dyken,7
SURRENDER YOUR LOVE,JC Reed,7
CROSS JUSTICE,James Patterson,7
KILL SHOT,Vince Flynn,7
THE WITNESS,Nora Roberts,7
THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,7
BURIED PREY,John Sandford,7
TOP SECRET TWENTY-ONE,Janet Evanovich,7
THE OCEAN AT THE END OF THE LANE,Neil Gaiman,7
THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen,7
UNLUCKY 13,James Patterson and Maxine Paetro,7
ENTWINED WITH YOU,Sylvia Day,7
STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,7
KILL ME IF YOU CAN,James Patterson and Marshall Karp,7
END OF WATCH,Stephen King,6
THE HEIST,Daniel Silva,6
THE HOST,Stephenie Meyer,6
I_ MICHAEL BENNETT,James Patterson and Michael Ledwidge,6
THE SURVIVOR,Vince Flynn and Kyle Mills,6
1225 CHRISTMAS TREE LANE,Debbie Macomber,6
SHOCK WAVE,John Sandford,6
THE ROSIE PROJECT,Graeme Simsion,6
HIDDEN ORDER,Brad Thor,6
NYPD RED 2,James Patterson and Marshall Karp,6
DEPRAVED HEART,Patricia Cornwell,6
FLIGHT BEHAVIOR,Barbara Kingsolver,6
LITTLE GIRL LOST,Brian McGilloway,6
STEALING FACES,Michael Prescott,6
THE SILKWORM,Robert Galbraith,6
THE CHEMIST,Stephenie Meyer,6
TRUTH OR DIE,James Patterson and Howard Roughan,6
CLOUD ATLAS,David Mitchell,6
FINDERS KEEPERS,Stephen King,6
GATHERING PREY,John Sandford,6
FOOL ME ONCE,Harlan Coben,6
BURN,James Patterson and Michael Ledwidge,6
THE BLACK ECHO,Michael Connelly,6
BAD MONKEY,Carl Hiaasen,6
THE ENGLISH SPY,Daniel Silva,6
ONE SUMMER,David Baldacci,6
CHASING FIRE,Nora Roberts,6
DEAD RECKONING,Charlaine Harris,6
THE NIGHT CIRCUS,Erin Morgenstern,6
SING YOU HOME,Jodi Picoult,6
DUST,Patricia Cornwell,6
MISSING YOU,Harlan Coben,6
DEEP DOWN,Lee Child,6
V IS FOR VENGEANCE,Sue Grafton,6
PRIVATE GAMES,James Patterson and Mark Sullivan,6
THE LAND OF PAINTED CAVES,Jean M Auel,6
THE APARTMENT,Danielle Steel,6
THE LAST MAN,Vince Flynn,6
NYPD RED 3,James Patterson and Marshall Karp,6
STOLEN PREY,John Sandford,6
BLACK LIST,Brad Thor,6
THE BOY IN THE SUITCASE,Lene Kaaberbol,6
WINTER OF THE WORLD,Ken Follett,6
SOMETHING BLUE,Emily Giffin,6
NATCHEZ BURNING,Greg Iles,6
THE BLACK WIDOW,Daniel Silva,6
SILKEN PREY,John Sandford,6
HOME,Harlan Coben,6
THE ENGLISH GIRL,Daniel Silva,6
CODE OF CONDUCT,Brad Thor,6
TURBO TWENTY-THREE,Janet Evanovich,6
ONE DAY,David Nicholls,6
LETHAL,Sandra Brown,6
TOUCH AND GO,Lisa Gardner,5
THE BLACK ICE,Michael Connelly,5
